city_id,country_id,country_code,country_state_id,state_code,city_country_code,city_state_code,default_name,translations
"1","5","BH","1","","BH","","Um Al Hasam","ar:أم الحصم | en:Um Al Hasam"
"2","5","BH","2","","BH","","Al Badii","ar:البديع | en:Al Badii"
"3","5","BH","3","","BH","","Al Jubailat","ar:الجبيلات | en:Al Jubailat"
"4","5","BH","4","","BH","","Al Jisrah","ar:الجسرة | en:Al Jisrah"
"5","5","BH","5","","BH","","Al Juffair","ar:الجفير | en:Al Juffair"
"6","5","BH","6","","BH","","Al Hidd","ar:الحد | en:Al Hidd"
"7","5","BH","7","","BH","","Al Duraaz","ar:الدراز | en:Al Duraaz"
"8","5","BH","8","","BH","","Al Dur","ar:الدير | en:Al Dair"
"9","5","BH","9","","BH","","Al Riffa East","ar:شرق الرفاع | en:Al Riffa East"
"10","5","BH","10","","BH","","Al Riffa West","ar:غرب الرفاع | en:Al Riffa West"
"11","5","BH","11","","BH","","Al Zallaq","ar:الزلاق | en:Al Zallaq"
"12","5","BH","12","","BH","","Al Zinj","ar:الزنج | en:Al Zinj"
"13","5","BH","13","","BH","","Al Sanabis","ar:السنابس | en:Al Sanabis"
"14","5","BH","14","","BH","","Al Ghuraifa","ar:الغريفة | en:Al Ghuraifa"
"15","5","BH","15","","BH","","Al Malkiya","ar:المالكية | en:Al Malkiya"
"16","5","BH","16","","BH","","Al Muharraq","ar:المحرق | en:Al Muharraq"
"17","5","BH","17","","BH","","Al Manama","ar:المنامة | en:Al Manama"
"18","5","BH","18","","BH","","Al Nuwaidrat","ar:النويدرات | en:Al Nuwaidrat"
"19","5","BH","19","","BH","","Al Hamalah","ar:الهملة | en:Al Hamalah"
"20","5","BH","20","","BH","","Um Al Naasan","ar:أم النعسان | en:Um Al Naasan"
"21","5","BH","21","","BH","","Barbar","ar:بربر | en:Barbar"
"22","5","BH","22","","BH","","Bani Jamrah","ar:بني جمرة | en:Bani Jamrah"
"23","5","BH","23","","BH","","Tubli","ar:تيبلي | en:Tubli"
"24","5","BH","24","","BH","","Jidhafs","ar:جدحفص | en:Jidhafs"
"25","5","BH","25","","BH","","Jidd Hafs","ar:جد حفص | en:Jidd Hafs"
"26","5","BH","26","","BH","","Jazirat Al Muharrq","ar:جزيرة المحرق | en:Jazirat Al Muharrq"
"27","5","BH","27","","BH","","Jazirat Al Nabi Saleh","ar:جزيرة النبي صالح | en:Jazirat Al Nabi Saleh"
"28","5","BH","28","","BH","","Dar Kulaib","ar:دار كليب | en:Dar Kulaib"
"29","5","BH","29","","BH","","Dumistan","ar:دميستان | en:Dumistan"
"30","5","BH","30","","BH","","Ras Al Ruman","ar:راس الرمان | en:Ras Al Ruman"
"31","5","BH","31","","BH","","Sitrah","ar:سترة | en:Sitrah"
"32","5","BH","32","","BH","","Safala","ar:سفالة | en:Safala"
"33","5","BH","33","","BH","","Salmabad","ar:سلماباد | en:Salmabad"
"34","5","BH","34","","BH","","Sanad","ar:سند | en:Sanad"
"35","5","BH","35","","BH","","Sadad","ar:سداد | en:Sadad"
"36","5","BH","36","","BH","","Daih Al Seef","ar:ديح السيف | en:Daih Al Seef"
"37","5","BH","37","","BH","","Adhari","ar:عذاري | en:Adhari"
"38","5","BH","38","","BH","","Askar","ar:عسكر | en:Askar"
"39","5","BH","39","","BH","","Qarya Saar","ar:القرية | en:Qarya Saar"
"40","5","BH","40","","BH","","Qalali","ar:قلالي | en:Qalali"
"41","5","BH","41","","BH","","Qal'at Al Bahrain","ar:قلعة البحرين | en:Qal'at Al Bahrain"
"42","5","BH","42","","BH","","Karzakan","ar:كرزكان | en:Karzakan"
"43","5","BH","43","","BH","","Madinat Hamad","ar:مدينة حمد | en:Madinat Hamad"
"44","5","BH","44","","BH","","Madinat Zayed","ar:مدينة زايد | en:Madinat Zayed"
"45","5","BH","45","","BH","","Madinat Isa","ar:مدينة عيسى | en:Madinat Isa"
"46","5","BH","46","","BH","","Bahrain International Airport","ar:مطار البحرين الدولي | en:Bahrain International Airport"
"47","5","BH","47","","BH","","Salman Port","ar:ميناء سلمان | en:Salman Port"
"48","2","SA","48","","SA","","'Asir","ar:عسير | en:'Asir"
"49","2","SA","49","","SA","","Al Bahah","ar:الباحة | en:Al Bahah"
"50","2","SA","50","","SA","","Al Hudud ash Shamaliyah","ar:الحدود الشمالية | en:Al Hudud ash Shamaliyah"
"51","2","SA","51","","SA","","Al Jawf","ar:الباحة | en:Al Jawf"
"52","2","SA","52","","SA","","Al Madinah","ar:نجران | en:Al Madinah"
"53","2","SA","53","","SA","","Al Qasim","ar:القصيم | en:Al Qasim"
"54","2","SA","54","","SA","","Ar Riyad","ar:الرياض | en:Ar Riyad"
